,name,product,kind,date,month,represent,region
691, 위지윅스튜디오,"영화, 비디오물, 방송프로그램 제작 및 배급업","VFX, 뉴미디어 등 특수영상 컨텐츠 제작",2018-12-20,12월,조성완,서울특별시
692, 국전약품,의약품 제조업,기업 인수 및 합병,2018-12-19,12월,홍종호,경기도
693, 에이비엘바이오,기초 의약물질 제조업,항체의약품 연구개발,2018-12-19,12월,이상훈,경기도
694, 머큐리,통신 및 방송 장비 제조업,"AP 단말기, 광섬유 및 광케이블, 위성통신 전송장비",2018-12-14,12월,황 하..,인천광역시
695, 전진바이오팜,기타 화학제품 제조업,"방충방향제, 유해동물피해감소제, 기생충피해감소제",2018-12-14,12월,이태훈,대구광역시
696, 뉴트리,기타 식품 제조업,"에버콜라겐, 지노마스터 등",2018-12-13,12월,김도언,서울특별시
697, 비투엔,소프트웨어 개발 및 공급업,"데이터컨설팅, 품질관리 솔루션",2018-12-12,12월,유호정,서울특별시
698, 이노메트리,특수 목적용 기계 제조업,엑스레이검사 장비,2018-12-12,12월,이갑수,경기도
699, DH오토리드,자동차 신품 부품 제조업,자동차 스티어링휠,2018-12-07,12월,이석근,전북특별자치도
700, 에코캡,자동차 신품 부품 제조업,"자동차 부품(전선, 케이블, 벌브소켓, LED 등)",2018-12-05,12월,김창규,울산광역시
701, 원바이오젠,의료용품 및 기타 의약 관련제품 제조업,"창상피복제, 습윤드레싱제",2018-12-05,12월,김원일,경상북도
702, 애닉,소프트웨어 개발 및 공급업,모바일게임,2018-12-03,12월,김제봉,서울특별시
703, 윙입푸드,기타 금융업,육가공 제품,2018-11-30,12월,왕현도,홍콩
704, 남화산업,스포츠 서비스업,골프장 서비스,2018-11-29,12월,최재훈..,전라남도
705, 엠아이텍,의료용 기기 제조업,비혈관 스텐트 및 체외충격파 쇄석기,2018-11-29,12월,곽재오,경기도
706, 티로보틱스,특수 목적용 기계 제조업,"중대형 시스템, 중대형 로봇",2018-11-29,12월,안승욱,경기도
707, 네오펙트,의료용 기기 제조업,라파엘스마트글러브 외,2018-11-28,12월,반호영,경기도
708, 에이펙스인텍,전구 및 조명장치 제조업,LED조명장치 등,2018-11-28,12월,김권진,경상북도
