,name,code,product,kind,date,month,represent,region
1534, 효성 ITX,094280,기타 사업지원 서비스업,"컨택센터서비스, Cloud솔루션, CDN, 프로젝터판매",2007-10-25,12월,남경환..,서울특별시
1535, 현우산업,092300,전자부품 제조업,인쇄회로판(PCB),2007-10-24,12월,문병선..,인천광역시
1536, 유나이티드,033270,의약품 제조업,"홈타민 진생연질60C(비타민제),항암제,항생제,순환기계,해열진통제,소화기계약품 제조",2007-10-23,12월,강덕영,세종특별자치시
1537, 케이알엠,093640,반도체 제조업,멀티미디어반도체,2007-10-19,12월,박광식,서울특별시
1538, 디아이씨,092200,자동차 신품 부품 제조업,"자동차부품(트란스밋숀,프런트액슬,기어,전동축),변속동력전달장치,특수공구,농기계 및 산업기계부품 제조,무역",2007-10-18,12월,김정렬,울산광역시
1539, 에스에너지,095910,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","태양광발전시스템,태양전지모듈",2007-10-16,12월,홍성민..,경기도
1540, 성우전자,081580,통신 및 방송 장비 제조업,휴대폰금속프레스부품(전자파차단ShieldCan),2007-10-12,12월,조일현..,경기도
1541, 엘엠에스,073110,전자부품 제조업,프리즘시트,2007-10-12,12월,나우주..,경기도
1542, 제이엠티,094970,전자부품 제조업,LCD패널용PBA,2007-10-12,12월,정수연..,경기도
1543, 오디텍,080520,반도체 제조업,"광반도체, 소자 및 모듈",2007-10-08,12월,박병근,전북특별자치도
1544, ISC,095340,기계장비 및 관련 물품 도매업,반도체테스트소켓,2007-10-01,12월,김정렬..,경기도
1545, 네오티스,085910,자동차 신품 부품 제조업,"마이크로비트,샤프트",2007-10-01,12월,권상훈,경기도
1546, 미래나노텍,095500,플라스틱제품 제조업,LCDBLU용광학필름,2007-10-01,12월,김철영,충청북도
1547, 상보,027580,플라스틱제품 제조업,"광학필름,윈도우필름,미디어필름",2007-10-01,12월,김상근,경기도
